ICES_FileID,ICES_HaulID,ICES_MeasurementID,RecordType,HaulID,Species,ELSampleFlag,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Notes
13998,1557933,8711079,EM,1992DK_013,Clupea harengus,LV,,29,,,2,1,,,,,,
13998,1557934,8711080,EM,1992DK_014,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557934,8711081,EM,1992DK_014,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557934,8711082,EM,1992DK_014,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557934,8711083,EM,1992DK_014,Clupea harengus,LV,,26,,,2,1,,,,,,
13998,1557934,8711084,EM,1992DK_014,Clupea harengus,LV,,27,,,3,1,,,,,,
13998,1557934,8711085,EM,1992DK_014,Clupea harengus,LV,,28,,,6,1,,,,,,
13998,1557934,8711086,EM,1992DK_014,Clupea harengus,LV,,29,,,3,1,,,,,,
13998,1557934,8711087,EM,1992DK_014,Clupea harengus,LV,,31,,,1,1,,,,,,
13998,1557935,8711088,EM,1992DK_015,Clupea harengus,LV,,22,,,2,1,,,,,,
13998,1557936,8711089,EM,1992DK_016,Clupea harengus,LV,,22,,,1,1,,,,,,
13998,1557936,8711090,EM,1992DK_016,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557936,8711091,EM,1992DK_016,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557936,8711092,EM,1992DK_016,Clupea harengus,LV,,26,,,1,1,,,,,,
13998,1557936,8711093,EM,1992DK_016,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557936,8711094,EM,1992DK_016,Clupea harengus,LV,,28,,,1,1,,,,,,
13998,1557937,8711095,EM,1992DK_017,Clupea harengus,LV,,20,,,1,1,,,,,,
13998,1557937,8711096,EM,1992DK_017,Clupea harengus,LV,,23,,,2,1,,,,,,
13998,1557937,8711097,EM,1992DK_017,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557937,8711098,EM,1992DK_017,Clupea harengus,LV,,26,,,1,1,,,,,,
13998,1557938,8711099,EM,1992DK_018,Clupea harengus,LV,,20,,,1,1,,,,,,
13998,1557938,8711100,EM,1992DK_018,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557938,8711101,EM,1992DK_018,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557938,8711102,EM,1992DK_018,Clupea harengus,LV,,25,,,4,1,,,,,,
13998,1557938,8711103,EM,1992DK_018,Clupea harengus,LV,,26,,,5,1,,,,,,
13998,1557938,8711104,EM,1992DK_018,Clupea harengus,LV,,27,,,6,1,,,,,,
13998,1557938,8711105,EM,1992DK_018,Clupea harengus,LV,,28,,,8,1,,,,,,
13998,1557938,8711106,EM,1992DK_018,Clupea harengus,LV,,29,,,5,1,,,,,,
13998,1557938,8711107,EM,1992DK_018,Clupea harengus,LV,,30,,,5,1,,,,,,
13998,1557938,8711108,EM,1992DK_018,Clupea harengus,LV,,32,,,1,1,,,,,,
13998,1557938,8711109,EM,1992DK_018,Clupea harengus,LV,,33,,,1,1,,,,,,
13998,1557912,8711110,EM,1992DK_019,Clupea harengus,LV,,22,,,1,1,,,,,,
13998,1557912,8711111,EM,1992DK_019,Clupea harengus,LV,,24,,,4,1,,,,,,
13998,1557912,8711112,EM,1992DK_019,Clupea harengus,LV,,25,,,2,1,,,,,,
13998,1557912,8711113,EM,1992DK_019,Clupea harengus,LV,,26,,,1,1,,,,,,
13998,1557912,8711114,EM,1992DK_019,Clupea harengus,LV,,27,,,3,1,,,,,,
13998,1557912,8711115,EM,1992DK_019,Clupea harengus,LV,,28,,,7,1,,,,,,
13998,1557912,8711116,EM,1992DK_019,Clupea harengus,LV,,29,,,14,1,,,,,,
13998,1557912,8711117,EM,1992DK_019,Clupea harengus,LV,,30,,,18,1,,,,,,
13998,1557912,8711118,EM,1992DK_019,Clupea harengus,LV,,31,,,9,1,,,,,,
13998,1557912,8711119,EM,1992DK_019,Clupea harengus,LV,,32,,,5,1,,,,,,
13998,1557912,8711120,EM,1992DK_019,Clupea harengus,LV,,33,,,4,1,,,,,,
13998,1557912,8711121,EM,1992DK_019,Clupea harengus,LV,,34,,,1,1,,,,,,
13998,1557913,8711122,EM,1992DK_020,Clupea harengus,LV,,32,,,2,1,,,,,,
13998,1557914,8711123,EM,1992DK_021,Clupea harengus,LV,,20,,,1,1,,,,,,
