RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,I5034 ,2,NL,64T2 ,MRN2,3980.892436,,,721935,2018NL036,2018,4,18,16,,11,d,55.24133,5.22533,,,42,,,,,R,2,,,1304,,,,,,,,,,,,,,,,,,,,,,5.99,5.98,34.83,34.67,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,5281.291207,,,721936,2018NL037,2018,4,18,18,,16,d,54.8345,4.86883,,,44,,,,,R,2,,,1929,,,,,,,,,,,,,,,,,,,,,,6.57,6.58,35.23,34.32,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4286.868617,,,721937,2018NL038,2018,4,18,20,,12,d,54.74267,5.27433,,,45,,,,,R,2,,,1665,,,,,,,,,,,,,,,,,,,,,,6.89,6.97,34.6,33.71,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3572.449812,,,721938,2018NL039,2018,4,18,21,,10,n,54.7505,5.76983,,,44,,,,,R,2,,,1297,,,,,,,,,,,,,,,,,,,,,,6.6,5.97,34.24,34.26,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,2971.526823,,,721939,2018NL040,2018,4,19,23,,10,n,54.75033,6.27233,,,41,,,,,R,2,,,961,,,,,,,,,,,,,,,,,,,,,,6.55,5.81,34.35,34.46,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3801.576162,,,721940,2018NL041,2018,4,19,0,,12,n,54.74183,6.71883,,,42,,,,,R,2,,,1023,,,,,,,,,,,,,,,,,,,,,,5.83,5.85,35.13,34.66,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4306.792647,,,721941,2018NL042,2018,4,19,2,,14,n,54.67217,7.0345,,,34,,,,,R,2,,,1051,,,,,,,,,,,,,,,,,,,,,,4.87,4.88,34.87,34.5,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4684.281867,,,721942,2018NL043,2018,4,19,3,,14,n,54.34233,7.13717,,,41,,,,,R,2,,,1789,,,,,,,,,,,,,,,,,,,,,,6.1,6.38,33.71,33.23,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,6077.540851,,,721943,2018NL044,2018,4,19,4,,17,n,54.243,6.70533,,,37,,,,,R,2,,,2348,,,,,,,,,,,,,,,,,,,,,,6.12,6.31,33.84,33.53,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,6352.919414,,,721944,2018NL045,2018,4,19,6,,17,n,54.23417,6.23833,,,38,,,,,R,2,,,3465,,,,,,,,,,,,,,,,,,,,,,6.62,6.53,33.88,33.39,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3110.283463,,,721945,2018NL050,2018,4,19,9,,10,d,54.22417,5.7085,,,40,,,,,R,2,,,700,,,,,,,,,,,,,,,,,,,,,,7.38,7.22,32.25,32.66,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3500.580988,,,721946,2018NL051,2018,4,19,10,,10,d,54.24333,5.25767,,,43,,,,,R,2,,,1052,,,,,,,,,,,,,,,,,,,,,,7.37,7.23,33.66,33.25,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3122.02441,,,721947,2018NL052,2018,4,19,12,,10,d,54.24217,4.708,,,47,,,,,R,2,,,1102,,,,,,,,,,,,,,,,,,,,,,7.05,6.73,18.89,33.68,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3508.764072,,,721948,2018NL053,2018,4,19,13,,10,d,54.24033,4.22433,,,50,,,,,R,2,,,4395,,,,,,,,,,,,,,,,,,,,,,7.15,6.77,36.16,35.12,,,500,,,,,,,,
